name	type	units
Fp1	EEG	µV
Fp2	EEG	µV
F3	EEG	µV
F4	EEG	µV
C3	EEG	µV
C4	EEG	µV
P3	EEG	µV
P4	EEG	µV
O1	EEG	µV
O2	EEG	µV
F7	EEG	µV
F8	EEG	µV
T7	EEG	µV
T8	EEG	µV
P7	EEG	µV
P8	EEG	µV
Fz	EEG	µV
Cz	EEG	µV
Pz	EEG	µV
IO	EEG	µV
FC1	EEG	µV
FC2	EEG	µV
CP1	EEG	µV
CP2	EEG	µV
FC5	EEG	µV
FC6	EEG	µV
CP5	EEG	µV
CP6	EEG	µV
FT9	EEG	µV
FT10	EEG	µV
TP9	EEG	µV
TP10	EEG	µV
F1	EEG	µV
F2	EEG	µV
C1	EEG	µV
C2	EEG	µV
P1	EEG	µV
P2	EEG	µV
AF3	EEG	µV
AF4	EEG	µV
FC3	EEG	µV
FC4	EEG	µV
CP3	EEG	µV
CP4	EEG	µV
PO3	EEG	µV
PO4	EEG	µV
F5	EEG	µV
F6	EEG	µV
C5	EEG	µV
C6	EEG	µV
P5	EEG	µV
P6	EEG	µV
AF7	EEG	µV
AF8	EEG	µV
FT7	EEG	µV
FT8	EEG	µV
TP7	EEG	µV
TP8	EEG	µV
PO7	EEG	µV
PO8	EEG	µV
Fpz	EEG	µV
CPz	EEG	µV
POz	EEG	µV
Oz	EEG	µV